t_s,n_visible_sats,n_edges,connected_to_space,end_to_end_delay_s,hops
11480.0,0,16,False,,
11500.0,0,16,False,,
11520.0,0,16,False,,
11540.0,0,16,False,,
11560.0,0,16,False,,
11580.0,0,16,False,,
11600.0,0,16,False,,
11620.0,0,16,False,,
11640.0,0,16,False,,
11660.0,0,16,False,,
11680.0,0,16,False,,
11700.0,0,16,False,,
11720.0,0,16,False,,
11740.0,0,16,False,,
11760.0,0,16,False,,
11780.0,0,16,False,,
